name	x	y
Nz	0.5	0.98075
Fp1	0.424965260763027	0.877225107847396
Fpz	0.5	0.884615384615385
Fp2	0.575034739236972	0.877225107847396
AFp1	0.462135464985791	0.842635117783931
AFp2	0.537864535014209	0.842635117783931
AF7	0.352814064474965	0.855338281735111
AF3	0.410749450156041	0.804720437726501
AFz	0.5	0.788461538461539
AF4	0.589250549843959	0.804720437726501
AF8	0.647185935525034	0.855338281735111
FAF5	0.350523541010352	0.769050518018618
FAF1	0.459134316872769	0.742225176722647
FAF2	0.540865683127231	0.742225176722647
FAF6	0.649476458989648	0.769050518018618
F9	0.193471161308813	0.831784424164026
F7	0.228035853389789	0.771964146610211
F5	0.284530112117458	0.73322292604194
F3	0.351961469438557	0.709358097673776
F1	0.424836859068012	0.696410752531039
Fz	0.5	0.692307692307693
F2	0.575163140931988	0.696410752531039
F4	0.648038530561442	0.709358097673776
F6	0.715469887882542	0.73322292604194
F8	0.771964146610211	0.771964146610211
F10	0.806528838691187	0.831784424164026
FFC9	0.149168748892979	0.739010466600637
FFC7	0.215109311454958	0.694087203418933
FFC5	0.291843046118912	0.667277345870202
FFC3	0.373597937210041	0.652022468313569
FFC1	0.457643291770369	0.645070484886892
FFC2	0.542356708229631	0.645070484886892
FFC4	0.626402062789959	0.652022468313569
FFC6	0.708156953881088	0.667277345870202
FFC8	0.784890688545042	0.694087203418933
FFC10	0.850831251107021	0.739010466600637
FT9	0.0683047173242065	0.693546923169462
FT7	0.144661718264889	0.647185935525034
FC5	0.229782238957274	0.62114984419424
FC3	0.318540125771434	0.606296733296578
FC1	0.408941049191355	0.598561498122085
FCz	0.5	0.596153846153846
FC2	0.591058950808644	0.598561498122085
FC4	0.681459874228566	0.606296733296578
FC6	0.770217761042727	0.62114984419424
FT8	0.855338281735111	0.647185935525034
FT10	0.931695282675793	0.693546923169462
CFC9	0.076857751778623	0.58581717937025
CFC7	0.169259453587482	0.567077255735637
CFC5	0.263167803515228	0.556657335610924
CFC3	0.357717003801976	0.550941979842576
CFC1	0.45254567917319	0.548384005933796
CFC2	0.54745432082681	0.548384005933796
CFC4	0.642282996198024	0.550941979842576
CFC6	0.736832196484772	0.556657335610924
CFC8	0.830740546412518	0.567077255735637
CFC10	0.923142248221377	0.58581717937025
T9	0.019230769230769	0.5
T7	0.115384615384615	0.5
C5	0.211538461538462	0.5
C3	0.307692307692307	0.5
C1	0.403846153846154	0.5
Cz	0.5	0.5
C2	0.596153846153846	0.5
C4	0.692307692307693	0.5
C6	0.788461538461539	0.5
T8	0.884615384615385	0.5
T10	0.980769230769231	0.5
CCP7	0.169259453587482	0.432922744264363
CCP5	0.263167803515228	0.443342664389076
CCP3	0.357717003801976	0.449058020157424
CCP1	0.45254567917319	0.451615994066204
CCP2	0.54745432082681	0.451615994066204
CCP4	0.642282996198024	0.449058020157424
CCP6	0.736832196484772	0.443342664389076
CCP8	0.830740546412518	0.432922744264363
TP9	0.0683047173242065	0.306453076830538
TP7	0.144661718264889	0.352814064474965
CP5	0.229782238957274	0.37885015580576
CP3	0.318540125771434	0.393703266703422
CP1	0.408941049191355	0.401438501877915
CPz	0.5	0.403846153846154
CP2	0.591058950808644	0.401438501877915
CP4	0.681459874228566	0.393703266703422
CP6	0.770217761042727	0.37885015580576
TP8	0.855338281735111	0.352814064474965
TP10	0.931695282675793	0.306453076830538
PCP9	0.149168748892979	0.260989533399363
PCP7	0.215109311454958	0.305912796581067
PCP5	0.291843046118912	0.332722654129798
PCP3	0.373597937210041	0.347977531686431
PCP1	0.457643291770369	0.354929515113107
PCP2	0.542356708229631	0.354929515113107
PCP4	0.626402062789959	0.347977531686431
PCP6	0.708156953881088	0.332722654129798
PCP8	0.784890688545042	0.305912796581067
PCP10	0.850831251107021	0.260989533399363
P9	0.193471161308813	0.168215575835975
P7	0.228035853389789	0.228035853389789
P5	0.284530112117458	0.26677707395806
P3	0.351961469438557	0.290641902326224
P1	0.424836859068012	0.303589247468961
Pz	0.5	0.307692307692307
P2	0.575163140931988	0.303589247468961
P4	0.648038530561442	0.290641902326224
P6	0.715469887882542	0.26677707395806
P8	0.771964146610211	0.228035853389789
P10	0.806528838691187	0.168215575835975
PPO7	0.27460780566832	0.156068189810182
PPO5	0.325521350966725	0.217359523166946
PPO3	0.37792489667446	0.241625581912234
PPO1	0.459134316872769	0.257774823277353
PPO2	0.540865683127231	0.257774823277353
PPO4	0.62207510332554	0.241625581912234
PPO6	0.674478649033275	0.217359523166946
PPO8	0.725392194331679	0.156068189810182
PO9	0.349673718136024	0.107178494937923
PO7	0.352814064474965	0.144661718264889
PO5	0.375398016989674	0.174399327297104
PO3	0.410749450156041	0.195279562273499
PO1	0.453637961793252	0.207518403066879
POz	0.5	0.211538461538462
PO2	0.546362038206748	0.207518403066879
PO4	0.589250549843959	0.195279562273499
PO6	0.624601983010327	0.174399327297104
PO8	0.647185935525034	0.144661718264889
PO10	0.650326281863976	0.107178494937923
OPO1	0.462135464985791	0.157364882216069
OPO2	0.537864535014209	0.157364882216069
O1	0.424965260763027	0.122774892152604
Oz	0.5	0.115384615384615
O2	0.575034739236972	0.122774892152604
OI1	0.453371371105657	0.078058841939536
OI2	0.546628628894343	0.078058841939536
I1	0.425932799117808	0.032736393128701
Iz	0.5	0.019230769230769
I2	0.574067200882192	0.032736393128701
